GENE	sumZ	numObs	normZ	pval_synth	rank_synth	fdr_synth	pval_supp	rank_supp	fdr_supp
SACS	-56.73	12	-10.85	1.04e-27	1	1.88e-23	1	18057	1
SUPT4H1	-37.30	12	-7.15	4.2e-13	2	3.79e-09	1	18056	1
INTS12	-36.15	12	-6.94	1.99e-12	3	1.2e-08	1	18055	1
DHX35	-35.00	12	-6.72	9.16e-12	4	4.13e-08	1	18054	1
CNOT4	-34.79	12	-6.68	1.2e-11	5	4.34e-08	1	18053	1
LEO1	-32.05	12	-6.16	3.69e-10	6	1.11e-06	1	18052	1
PPIL1	-31.42	12	-6.04	7.81e-10	7	2.01e-06	1	18051	1
GPX4	-29.56	12	-5.69	6.53e-09	8	1.47e-05	1	18050	1
LMNB1	-28.21	12	-5.43	2.84e-08	9	5.69e-05	1	18049	1
CTR9	-27.85	12	-5.36	4.18e-08	10	7.54e-05	1	18048	1
BRD2	-26.97	12	-5.19	1.03e-07	11	0.000169	1	18047	1
SMARCA4	-26.35	12	-5.08	1.93e-07	12	0.000291	1	18046	1
SNAP29	-25.98	12	-5.01	2.79e-07	13	0.000387	1	18045	1
PPIE	-25.39	12	-4.89	4.96e-07	14	0.00064	1	18044	1
PAX6	-24.53	12	-4.73	1.13e-06	15	0.00136	1	18043	1
ARID1A	-23.60	12	-4.55	2.65e-06	16	0.00299	1	18042	1
IGF1R	-23.41	12	-4.52	3.13e-06	17	0.00333	1	18041	1
TBC1D7	-21.59	12	-4.17	1.51e-05	18	0.0145	1	18040	1
AAAS	-21.58	12	-4.17	1.53e-05	19	0.0145	1	18039	1
NELFE	-20.32	12	-3.93	4.27e-05	20	0.0373	1	18038	1
PHF12	-20.30	12	-3.93	4.33e-05	21	0.0373	1	18037	1
GSK3B	-19.93	12	-3.86	5.77e-05	22	0.0474	1	18036	1
MAP2K5	-19.26	12	-3.73	9.6e-05	23	0.0754	1	18035	1
NELFA	-19.18	12	-3.71	0.000103	24	0.0773	1	18034	1
TRIO	-19.01	12	-3.68	0.000116	25	0.0841	1	18033	1
INTS6	-18.87	12	-3.65	0.000129	26	0.0898	1	18032	1
FUBP3	-18.72	12	-3.62	0.000144	27	0.0966	1	18031	1
SNAP23	-18.57	12	-3.60	0.00016	28	0.0998	1	18030	1
LMNA	-18.57	12	-3.60	0.00016	29	0.0998	1	18029	1
AHCTF1	-18.26	12	-3.54	0.000201	30	0.121	1	18028	1
FZR1	-17.70	12	-3.43	0.000298	31	0.174	1	18027	1
OR52W1	-17.63	12	-3.42	0.000316	32	0.178	1	18026	1
